epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
95,13348.3,0.99594,1.60656,0.52143,1.04428,0,0.6321,0.55943,0.60949,0.40247,0.68848,0.49885,0.57489,0.33881,1.74566,2.77989,1.17907,1.56008,0,0.000185803,0.000185803,0.000185803
96,13707,1.01849,1.63957,0.53966,1.05342,0,0.66902,0.54975,0.60695,0.39863,0.64428,0.51616,0.5611,0.3304,1.75842,2.87181,1.23222,1.56912,0,0.000176754,0.000176754,0.000176754
97,14066.4,0.98846,1.57583,0.51278,1.0364,0,0.69228,0.53171,0.61072,0.40082,0.62996,0.53122,0.57591,0.34189,1.72964,2.77589,1.196,1.57225,0,0.000167897,0.000167897,0.000167897
98,14424.8,0.98794,1.58081,0.51603,1.04055,0,0.65003,0.55279,0.61804,0.40692,0.62807,0.53757,0.57312,0.34336,1.73621,2.77909,1.13634,1.58233,0,0.000159237,0.000159237,0.000159237
99,14781.9,0.98309,1.59083,0.5164,1.0416,0,0.77003,0.50782,0.62056,0.40391,0.61993,0.54814,0.57522,0.34647,1.73593,2.77629,1.15053,1.58035,0,0.000150779,0.000150779,0.000150779
100,15141.4,0.98121,1.55775,0.50495,1.03324,0,0.63201,0.55806,0.61077,0.40265,0.6337,0.51521,0.55831,0.33991,1.757,2.80802,1.16648,1.59642,0,0.000142527,0.000142527,0.000142527
101,15499.5,0.98594,1.58212,0.51684,1.03896,0,0.66313,0.53833,0.60338,0.39974,0.6285,0.51171,0.56003,0.34486,1.73224,2.82257,1.17983,1.58638,0,0.000134487,0.000134487,0.000134487
102,15859,0.98679,1.57357,0.51756,1.03775,0,0.73425,0.50872,0.61362,0.39834,0.65589,0.50987,0.56768,0.34167,1.73907,2.86326,1.17938,1.59397,0,0.000126664,0.000126664,0.000126664
103,16216.2,0.97541,1.56788,0.5155,1.03778,0,0.64575,0.56586,0.61851,0.4105,0.61471,0.53204,0.5737,0.34825,1.71604,2.83311,1.16727,1.57886,0,0.000119061,0.000119061,0.000119061
104,16576.5,0.99704,1.59215,0.51552,1.03779,0,0.65846,0.56863,0.61542,0.407,0.61015,0.54936,0.56927,0.34619,1.72634,2.85204,1.1733,1.58,0,0.000111684,0.000111684,0.000111684
